Date,Open,High,Low,Close
2026-02-23,67693.3,67744.2,63882.6,64725.7
2026-02-24,64724.9,65025.8,62559.4,64154.3
2026-02-25,64159.7,69998.1,63891.2,68485.6
2026-02-26,68449.5,68844.9,66543.7,67629.7
2026-02-27,67595.8,68217,65144.4,65590.9
2026-03-02,65302.2,70131.1,65184.3,69415.5
2026-03-03,69486.9,69528.4,66294.9,68258.4
2026-03-04,68310.2,74094.9,67393.6,72715.6
2026-03-05,72734.6,73565.6,70648.4,71229.6
2026-03-06,71226.5,71392.8,67758,68145.8
2026-03-09,66269.9,69505.7,65853.1,68629.4
2026-03-10,68648.3,71773.5,68376.5,69686.4
